offset	bsdsocket	n_other	others
-582	endservent	4	dos:SetPrompt,graphics:GetRGB4,exec:ObtainSemaphoreList,intuition:GetDefaultPubScreen
-588	getservent	4	dos:GetPrompt,graphics:ScrollVPort,exec:ReleaseSemaphoreList,intuition:EasyRequestArgs
-594	inet_aton	4	dos:SetProgramDir,graphics:UCopperListInit,exec:FindSemaphore,intuition:BuildEasyRequestArgs
-600	inet_ntop	4	dos:GetProgramDir,graphics:FreeGBuffers,exec:AddSemaphore,intuition:SysReqHandler
-606	inet_pton	5	dos:SystemTagList,dos:System,graphics:BltBitMapRastPort,exec:RemSemaphore,intuition:OpenWindowTagList
-612	In_LocalAddr	4	dos:AssignLock,graphics:OrRegionRegion,exec:SumKickData,intuition:OpenScreenTagList
-618	In_CanForward	4	dos:AssignLate,graphics:XorRegionRegion,exec:AddMemList,intuition:DrawImageState
-624	mbuf_copym	4	dos:AssignPath,graphics:AndRegionRegion,exec:CopyMem,intuition:PointInImage
-630	mbuf_copyback	4	dos:AssignAdd,graphics:SetRGB4CM,exec:CopyMemQuick,intuition:EraseImage
-636	mbuf_copydata	4	dos:RemAssignList,graphics:BltMaskBitMapRastPort,exec:CacheClearU,intuition:NewObjectA
-642	mbuf_free	3	dos:GetDeviceProc,exec:CacheClearE,intuition:DisposeObject
-648	mbuf_freem	3	dos:FreeDeviceProc,exec:CacheControl,intuition:SetAttrsA
-654	mbuf_get	4	dos:LockDosList,graphics:AttemptLockLayerRom,exec:CreateIORequest,intuition:GetAttr
-660	mbuf_gethdr	4	dos:UnLockDosList,graphics:GfxNew,exec:DeleteIORequest,intuition:SetGadgetAttrsA
-666	mbuf_prepend	4	dos:AttemptLockDosList,graphics:GfxFree,exec:CreateMsgPort,intuition:NextObject
-672	mbuf_cat	3	dos:RemDosEntry,graphics:GfxAssociate,exec:DeleteMsgPort
-678	mbuf_adj	4	dos:AddDosEntry,graphics:BitMapScale,exec:ObtainSemaphoreShared,intuition:MakeClass
-684	mbuf_pullup	4	dos:FindDosEntry,graphics:ScalerDiv,exec:AllocVec,intuition:AddClass
-690	ProcessIsServer	4	dos:NextDosEntry,graphics:TextExtent,exec:FreeVec,intuition:GetScreenDrawInfo
-696	ObtainServerSocket	4	dos:MakeDosEntry,graphics:TextFit,exec:CreatePool,intuition:FreeScreenDrawInfo
-702	GetDefaultDomainName	4	dos:FreeDosEntry,graphics:GfxLookUp,exec:DeletePool,intuition:ResetMenuStrip
-708	SetDefaultDomainName	4	dos:IsFileSystem,graphics:VideoControl,exec:AllocPooled,intuition:RemoveClass
-714	ObtainRoadshowData	4	dos:Format,graphics:OpenMonitor,exec:FreePooled,intuition:FreeClass
-720	ReleaseRoadshowData	3	dos:Relabel,graphics:CloseMonitor,exec:AttemptSemaphoreShared
-726	ChangeRoadshowData	3	dos:Inhibit,graphics:FindDisplayInfo,exec:ColdReboot
-732	RemoveInterface	3	dos:AddBuffers,graphics:NextDisplayInfo,exec:StackSwap
-738	gethostbyname_r	1	dos:CompareDates
-744	gethostbyaddr_r	1	dos:DateToStr
-750	reserved	1	dos:StrToDate
-756	reserved	2	dos:InternalLoadSeg,graphics:GetDisplayInfoData
-762	ipf_open	3	dos:InternalUnLoadSeg,graphics:FontExtent,exec:CachePreDMA
-768	ipf_close	5	dos:NewLoadSeg,dos:NewLoadSegTagList,graphics:ReadPixelLine8,exec:CachePostDMA,intuition:AllocScreenBuffer
-774	ipf_ioctl	4	dos:AddSegment,graphics:WritePixelLine8,exec:AddMemHandler,intuition:FreeScreenBuffer
-780	ipf_log_read	4	dos:FindSegment,graphics:ReadPixelArray8,exec:RemMemHandler,intuition:ChangeScreenBuffer
-786	ipf_log_data_waiting	4	dos:RemSegment,graphics:WritePixelArray8,exec:ObtainQuickVector,intuition:ScreenDepth
-792	ipf_set_notify_mask	3	dos:CheckSignal,graphics:GetVPModeID,intuition:ScreenPosition
-798	ipf_set_interrupt_mask	3	dos:ReadArgs,graphics:ModeNotAvailable,intuition:ScrollWindowRaster
-804	freeaddrinfo	3	dos:FindArg,graphics:WeighTAMatch,intuition:LendMenus
-810	getaddrinfo	3	dos:ReadItem,graphics:EraseRect,intuition:DoGadgetMethodA
-816	gai_strerror	3	dos:StrToLong,graphics:ExtendFont,intuition:SetWindowPointerA
-822	getnameinfo	3	dos:MatchFirst,graphics:StripFont,intuition:TimedDisplayAlert
-828	reserved	4	dos:MatchNext,graphics:CalcIVG,exec:NewMinList,intuition:HelpControl
-834	reserved	3	dos:MatchEnd,graphics:AttachPalExtra,intuition:ShowWindow
-840	reserved	3	dos:ParsePattern,graphics:ObtainBestPenA,intuition:HideWindow
-846	reserved	1	dos:MatchPattern
-852	reserved	1	graphics:SetRGB32
-858	reserved	2	dos:FreeArgs,graphics:GetAPen
-882	if_nametoindex	2	dos:AddPart,graphics:LoadRGB32
-888	if_indextoname	2	dos:StartNotify,graphics:SetChipRev
-894	if_nameindex	2	dos:EndNotify,graphics:SetABPenDrMd
-900	if_freenameindex	2	dos:SetVar,graphics:GetRGB32
