offset	dec	index	name	impl
-672	-672	111	mbuf_cat	bsd_enosys
-678	-678	112	mbuf_adj	bsd_enosys
-684	-684	113	mbuf_pullup	bsd_enosys_ptr
-690	-690	114	ProcessIsServer	bsd_ProcessIsServer
-696	-696	115	ObtainServerSocket	bsd_ObtainServerSocket
-702	-702	116	GetDefaultDomainName	bsd_GetDefaultDomainName
-708	-708	117	SetDefaultDomainName	bsd_SetDefaultDomainName
-714	-714	118	ObtainRoadshowData	bsd_enosys_ptr
-720	-720	119	ReleaseRoadshowData	bsd_enosys
-726	-726	120	ChangeRoadshowData	bsd_enosys_bool
-732	-732	121	RemoveInterface	bsd_RemoveInterface
-738	-738	122	gethostbyname_r	bsd_gethostbyname_r
-744	-744	123	gethostbyaddr_r	bsd_gethostbyaddr_r
-750	-750	124	reserved	bsd_enosys
-756	-756	125	reserved	bsd_enosys
-762	-762	126	ipf_open	bsd_enosys
-768	-768	127	ipf_close	bsd_enosys
-774	-774	128	ipf_ioctl	bsd_enosys
-780	-780	129	ipf_log_read	bsd_enosys
-786	-786	130	ipf_log_data_waiting	bsd_enosys
-792	-792	131	ipf_set_notify_mask	bsd_enosys
-798	-798	132	ipf_set_interrupt_mask	bsd_enosys
-804	-804	133	freeaddrinfo	bsd_freeaddrinfo
-810	-810	134	getaddrinfo	bsd_getaddrinfo
-816	-816	135	gai_strerror	bsd_gai_strerror
-822	-822	136	getnameinfo	bsd_getnameinfo
-828	-828	137	reserved	bsd_enosys
-834	-834	138	reserved	bsd_enosys
-840	-840	139	reserved	bsd_enosys
-846	-846	140	reserved	bsd_enosys
-852	-852	141	reserved	bsd_enosys
-858	-858	142	reserved	bsd_enosys
-882	-882	146	if_nametoindex	bsd_if_nametoindex
-888	-888	147	if_indextoname	bsd_if_indextoname
-894	-894	148	if_nameindex	bsd_if_nameindex
-900	-900	149	if_freenameindex	bsd_if_freenameindex
