archive	file	verdict	distinct	calls	lvos	scanner	path	sha256
AmBoS-GamesFAQ.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/ambos/AmBoS-GamesFAQ.lha	625d4081f7a1fc272ed08d9dbb21d247b0c237785b1b12923227f05d0c29ce9f
AmBoS-Keyfile.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/ambos/AmBoS-Keyfile.lha	f411d00ba2dddac22a39ee55461f7004648cc67e148891bc9a278926123327e4
AmBoSDataTools.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/ambos/AmBoSDataTools.lha	73e5ce1eb872f9042881177925d424c6532b38f7d5c6535581b5e2407dd66e6c
AmBoS_doc_dev.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/ambos/AmBoS_doc_dev.lha	1785840c7dc5303bc3d59accdf1250ce003af36bcfd3804917a25207f7259b27
AmBoSnoid.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/ambos/AmBoSnoid.lha	625cdea0024f077ddff4cb4e874611c7b5f2fe12c49929a9bdc2b5c07758d195
AmFTP175_ES.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmFTP175_ES.lha	69567fc8076593690b009fdb967fa189cdc1e773bfd1ff599683a16bf912aac9
AmFTP191.lha	AmFTP/Register-AmFTP/RegistrationUtility	NO_SOCKETBASE_STORE opens=6	distinct=0	calls=0		scanner=7	comm/tcp/AmFTP191.lha	e79a7f35b2c02917c6bd4ec48d8c09c9d486bc4f63cd634619c85d47f236c88e
AmFTP191.lha	AmFTP/AmFTP	NO_SOCKETBASE_STORE opens=17	distinct=0	calls=0		scanner=7	comm/tcp/AmFTP191.lha	e79a7f35b2c02917c6bd4ec48d8c09c9d486bc4f63cd634619c85d47f236c88e
AmFTP191_HU.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmFTP191_HU.lha	bcb2af3a7b2090a510d021de6636968195561a6eeda1d1201d6157a583732019
AmFTPPL.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmFTPPL.lha	40d209f333d4e3d97a9b7ffeaed99adf3443bf1bd873c828055f8b05cdf23fe2
AmFTP_CAT.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmFTP_CAT.lha	d54f695810d64ea6a7822c246f356b2295def3b4d81613e1efe4f952478d6a84
AmFTP_GR.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmFTP_GR.lha	f6e00f80e94575bf431323aaacd16de492eb075549e0dc6ad3d07df7d79717f1
AmFinger1.5.lha	AmFinger	NO_SOCKETBASE_STORE opens=7	distinct=0	calls=0		scanner=7	comm/tcp/AmFinger1.5.lha	337fadcca2817a40d37dffb27f418764974e998165a2645bd329e7636a6f4fab
AmIRC35-ITA.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRC35-ITA.lha	ddd3db560322e189735c72466fe5b54fd1860e744c12b35369d2e8f582c885aa
AmIRCFetch.lha	GetClient	NO_SOCKETBASE_STORE opens=3	distinct=0	calls=0		scanner=7	comm/irc/AmIRCFetch.lha	ef827fcd8fcc1262c8c8e9a69642ac6cb2c1a73314488c3c0062de1f7e61093f
AmIRCMPEGA.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmIRCMPEGA.lha	4e684bdfbeee08491c27ae6a097af6928bd1b3a72459683fe59623cc6b4bb701
AmIRCURLShow.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRCURLShow.lha	550519d7281e1f8dfa3d7c732b8d0e5d30943439a2bea1c86c0d9956fe8accd3
AmIRCUp_GR.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRCUp_GR.lha	7e5b06921d1fce8f1c2fb4c016fdee8c4f1d6ab4c96c0bd0b4ed8055b6bcf39c
AmIRCWhoIS.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRCWhoIS.lha	b8da7f009dbf97bc03f6654b8c2b450f07eca43f52f4e4bc244ae31ded5fc1db
AmIRC_DE.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRC_DE.lha	59f7184ff3f9127b0d8cb3fb131099d4e0935d7aeab58e52674134a7cda8187c
AmIRC_FIN.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRC_FIN.lha	019724b22ae761e8d3ee7b2ef2e49149518df2d554ef09a257b493fc78d03d72
AmIRC_FR.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRC_FR.lha	be92feae83f7e937a908fc96535d5198c0ef021f3ff6e6edafca18e52be38ff7
AmIRC_GR.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRC_GR.lha	c76e411a8b48a27165367865d66582304b75ce7305655a1269e574915aea1234
AmIRC_HU.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRC_HU.lha	3ad632b92ee7f738cfc465c63fa6bbca6bf43da8554cdef447a49b5df1af3304
AmIRC_ITA.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRC_ITA.lha	e623558a9f590a7ccc47940eece2f28cfb864fe9fd499f467dce07e06e6870da
AmIRC_OLM.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmIRC_OLM.lha	16b6f2c00693b3d9f1cbb337e85db339c012e125b06925463b5d2b14f28d5df9
AmIRC_Spanish.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRC_Spanish.lha	253fb736383ca58d9eaf09af64051aca7da955b95a0cf493d822b517d83b45ae
AmIRC_amsg_ame.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRC_amsg_ame.lha	873c02737e7a3a8b382ae580b14f42e1d070719f469850913d11218754e446b9
AmIRCii-2.8.2.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRCii-2.8.2.lha	c2638bdf6ff9087189adb744af5e25fec6a0e0c3e56c3a48cb39c1f764ee3e54
AmIRCmailcheck.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRCmailcheck.lha	d436c6eca7404baf537abf7cda1e6ae5b74ea684ba7e8b49fc662788f281de40
AmIRCnewconfig.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRCnewconfig.lha	a347023101c80842b7d02ec8877d41da411e0b5c29c4c6f635a4b4e0f45eeadd
AmIRCsounds.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmIRCsounds.lha	9969c2a14fe8a54226903637bb3f21c847f29e8cd438d783238d37c458b21caf
AmIRCspanish.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIRCspanish.lha	e784882ddc960ba56e25f6d73fe3560c53b3e536649deb64dc927d7b70bafb7d
AmIrXDCC_130.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIrXDCC_130.lha	b329ff2813f6d7112be36b5d8785bbfe310c39f1fa1b25061720d8bbbca663d3
AmIrc2Html.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmIrc2Html.lha	00a44fa10d37329d4f8c507dd9d0d2970d86604b1e007b64abb92f40029b9de6
AmPOP3D.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmPOP3D.lha	b2d5a4b38bb6d6c3d315e6421c4acd643a3e03844f1ec39657eae2359c19d7bc
AmRSS-de.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmRSS-de.lha	98b5a60df740e4c8c0505c8a6b85b442a637c63271466126fbe5b6897873e29e
AmScript.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmScript.lha	501f28a581fc822c18b3f1b72a1af5b038fcf652ff0e67d3671b01351582d272
AmSeen.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmSeen.lha	3569b67924944940da7bc8f536de7089efa38580a7fd0e15ad376dc97bfa169f
AmServ.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmServ.lha	067307c94baf7752983ae56927c7ceebfde3de1fc4a98f3e1b32eb29975b94f8
AmSound.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/irc/AmSound.lha	719d0538f822c027a11abf51b5c57e23497942e93766b7fbcba063a87ed92ba5
AmTalkPL.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmTalkPL.lha	56ad4118c7b179e96ed248b9ca9c4b50a8c9b8ff0dec9a2acd045a7fccee614b
AmTalk_Es.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmTalk_Es.lha	8829abb7a355ea29c996eae94080d55e03150da28e4eb4397201862477df283b
AmTelnet-SPA.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmTelnet-SPA.lha	56586cac9751f47f36b2adca53c9396af2b703599f24d86ce1331487b1174721
AmTelnetPL.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmTelnetPL.lha	1d34fc7aa84b8a5e439094cc31bd3c7c24b6dc59dbd1b9c9185cf24145ff222a
AmTerm1.0_no.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmTerm1.0_no.lha	9571b42c534e2eb3102f8f707ae1828485482291c4543e8d3d1f220f47431bc4
AmTerm_GR.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmTerm_GR.lha	5bb1c2ecd2f40be8d7abb4750e218473b152029c30eee7c6175923a3a094d70f
Ami-HyTelnet.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/net/Ami-HyTelnet.lha	f793b09bf1aa47165fc2ff8f593d00517b2fcdd47b545cba549d0cfa182b07ff
Ami2PC-TCP.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/Ami2PC-TCP.lha	7a4027f7ac25cc737819e9ad82b5c40b8a733770d11ad1fea422270af8a0b0ca
AmiBabel.lha	AmiBabel	NO_SOCKETBASE_STORE opens=15	distinct=0	calls=0		scanner=7	comm/tcp/AmiBabel.lha	f2556144a88f68f1fd86d88c82c3ac461ec1a129e684ebfa24e32f8786985073
AmiBot.lha	AmiBot.020	NO_SOCKETBASE_STORE opens=7	distinct=0	calls=0		scanner=7	comm/irc/AmiBot.lha	e69e3105247b3ceb914695be83148a06e603b45a880c865231e0f22f485d935d
AmiBot.lha	AmiBot.000	NO_SOCKETBASE_STORE opens=7	distinct=0	calls=0		scanner=7	comm/irc/AmiBot.lha	e69e3105247b3ceb914695be83148a06e603b45a880c865231e0f22f485d935d
AmiChatOrg1.3.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmiChatOrg1.3.lha	a9eef6619f9f27eeeface1c5835bbc8beb9cf261aacc92c217eeafb607711e1c
AmiCom.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/misc/AmiCom.lha	8e2c1bc51e3190d0f2bb2fde1010daae66ddd067c36cf84975fd6b34680cf2ec
AmiComSys.lha	AmiComSys/libs/amarquee.library	NO_SOCKETBASE_STORE opens=2	distinct=0	calls=0		scanner=7	comm/net/AmiComSys.lha	fe8c21e86532706ee3f6ee49203bc616d42c788ed5cd0026c53e66ffc0527295
AmiComSys.lha	AmiComSys/AmiComSys	NO_SOCKETBASE_STORE opens=30	distinct=0	calls=0		scanner=7	comm/net/AmiComSys.lha	fe8c21e86532706ee3f6ee49203bc616d42c788ed5cd0026c53e66ffc0527295
AmiComSysMI.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/net/AmiComSysMI.lha	f6c77152fa70c69dbd3acbf0f00f9772a84b510bcd9a9976f4ac0764dc8a9e39
